Client,Sex,Age,Tenure,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL,VolumeCred,VolumeCred_CA,TransactionsCred,TransactionsCred_CA,VolumeDeb,VolumeDeb_CA,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDeb_CA,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder,Sale_MF,Sale_CC,Sale_CL,Revenue_MF,Revenue_CC,Revenue_CL
1,F,51,7,1,0,0,1,0,0,1333.802857,0,0,0,0,0,1678.946429,1318.698214,25,23,1891.353214,1335.619643,250,283.0892857,247.6071429,50,30,3,12,9,1,0,0,26.97267857,0,0
2,M,43,152,1,1,0,0,0,0,110.7685714,13326.19036,0,0,0,0,708.1296429,704.9357143,4,3,386.4428571,386.4428571,307.1428571,38.40714286,35.71428571,6,6,2,2,1,0,0,0,0,0,0
3,M,17,140,1,0,1,0,0,0,482.6546429,0,107.2517857,0,0,0,1607.149643,1607.149643,4,4,123.75,123.75,0,112.8571429,10.67857143,3,3,0,1,1,NULL,NULL,NULL,NULL,NULL,NULL
4,M,24,153,1,1,0,0,1,0,1599.840714,76.43714286,0,0,1110.381786,0,1872.483571,1822.589643,9,4,3614.7475,3598.950357,714.2857143,526.0375,1963.165357,41,36,6,12,13,NULL,NULL,NULL,NULL,NULL,NULL
5,F,58,200,1,1,0,0,0,0,5353.483929,8079.715714,0,0,0,0,4372.773929,2964.290357,23,14,5868.460714,4031.925,157.1428571,832.175,1779.571429,44,41,4,17,13,NULL,NULL,NULL,NULL,NULL,NULL
6,F,24,19,1,0,0,0,0,1,4.297142857,0,0,0,0,1982.071071,501.1314286,448.4292857,3,2,436.2857143,429.6785714,357.1428571,0,0,8,6,1,0,0,0,0,0,0,0,0
7,F,55,227,1,0,0,0,0,0,879.685,0,0,0,0,0,387.5046429,387.5046429,2,2,99.04392857,99.04392857,17.85714286,69.15107143,10.71428571,10,10,1,6,1,NULL,NULL,NULL,NULL,NULL,NULL
8,F,64,30,1,0,0,1,0,0,0,0,0,326.9692857,0,0,649.1992857,458.6085714,25,21,654.8242857,455.0371429,253.5714286,6.982142857,0,42,24,10,1,0,0,0,0,0,0,0
9,F,33,182,1,0,0,1,0,0,510.1664286,0,0,0,0,0,527.175,379.7910714,6,4,415.4607143,375.7053571,53.57142857,0,170.7142857,10,7,1,0,3,NULL,NULL,NULL,NULL,NULL,NULL
10,F,29,48,1,1,0,0,0,0,253.4589286,116.7092857,0,0,0,0,0.024642857,0,1,0,0.892857143,0.892857143,0,0,0,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
